IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
493e42,rsi,350524,1062,masked,<new_format>,test,"test, %r8,%r8",1,0,2.282193,76.61290322580645,23.387096774193548,CONDITION,0.0
46fce0,rdx,373770,283,crash,<hypre_ParMatmul_RowSizes._omp_fn.0>,mov,"mov, 0x0(%rbp,%r9,8),%rcx",0,1,2.441135,76.8,23.2,DATAXFER,1.0
462026,rflags,401827,318,crash,<hypre_ParCSRRelaxThreads._omp_fn.1>,cmp,"cmp, %rax,%rdx",0,1,2.632972,75.59055118110236,24.40944881889764,CONDITION,0.25
461f41,rsp,401827,318,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,2.632972,76.19047619047619,23.80952380952381,INTEGER,0.26744186046511625
461f45,xmm0,413230,1774,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",0,1,2.710939,75.78125,24.21875,CONDITION,0.3157894736842105
461f3d,rflags,414223,1752,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",1,0,2.717728,75.1937984496124,24.8062015503876,DATAXFER,0.3246753246753247
461f3d,rax,440049,1106,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",1,0,2.894311,74.61538461538461,25.384615384615383,DATAXFER,0.3246753246753247
480360,rax,445682,1001,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rax",1,0,2.932826,74.04580152671755,25.95419847328244,DATAXFER,0.391304347826087
4824a0,rax,453088,1228,masked,<hypre_SeqVectorAxpy._omp_fn.3>,rAxpy._omp_fn.3>:,rAxpy._omp_fn.3>:,1,0,2.983464,74.24242424242425,25.75757575757576,UnKnown,0.2
4824a0,rbx,453088,1228,crash,<hypre_SeqVectorAxpy._omp_fn.3>,rAxpy._omp_fn.3>:,rAxpy._omp_fn.3>:,0,1,2.983464,74.43609022556392,25.56390977443609,UnKnown,0.2
424d09,xmm0,454702,1735,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,cmp,"cmp, %r8,(%rdi)",0,1,2.994499,74.07407407407408,25.925925925925927,CONDITION,1.0
424d4f,rax,454702,1735,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,mov,"mov, 0x58(%r13),%r10",0,1,2.994499,73.88059701492537,26.119402985074625,DATAXFER,0.5
461f3d,rsi,473008,934,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",1,0,3.119665,73.52941176470588,26.47058823529412,DATAXFER,0.3246753246753247
461f41,xmm0,483490,1155,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,3.191334,73.57142857142857,26.428571428571427,INTEGER,0.26744186046511625
48019a,xmm0,483490,1155,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,add,"add, $0x1,%rdx",1,0,3.191334,73.72262773722628,26.277372262773724,INTEGER,0.42105263157894735
48019e,rdi,483490,1155,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rax,%rdx",0,1,3.191334,73.38129496402878,26.618705035971225,CONDITION,0.3684210526315789
46fd08,rcx,483490,1155,masked,<hypre_ParMatmul_RowSizes._omp_fn.0>,mov,"mov, (%r8,%rcx,8),%rsi",1,0,3.191334,73.18840579710145,26.81159420289855,DATAXFER,0.3333333333333333
4703e7,rax,492433,724,masked,<hypre_ParMatmul._omp_fn.4>,cmp,"cmp, %rcx,(%rax,%rbx,1)",1,0,3.252481,73.75886524822695,26.24113475177305,CONDITION,0.0
461f0b,xmm1,502223,20,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,ucomisd,"ucomisd, 0x68(%rbx),%xmm1",1,0,3.319419,73.94366197183099,26.056338028169016,CONDITION,0.0
461f3d,rflags,507650,1823,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",1,0,3.356526,74.12587412587412,25.87412587412588,DATAXFER,0.3246753246753247
461f4e,,520481,211,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,subsd,"subsd, %xmm1,%xmm0",0,1,3.444256,73.61111111111111,26.38888888888889,FP,0.2692307692307692
491647,rax,536940,1525,masked,<hypre_LowerBound>,shr,"shr, %rcx",1,0,3.556793,73.79310344827586,26.20689655172414,SHIFT,0.0
455b92,xmm0,554215,304,masked,<hypre_BoomerAMGCreateS._omp_fn.1>,add,"add, $0x1,%rdi",1,0,3.674909,73.97260273972603,26.02739726027397,INTEGER,0.5
461e90,rax,577416,1005,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,laxThreads._omp_fn.2>:,laxThreads._omp_fn.2>:,1,0,3.833544,74.32432432432432,25.67567567567568,UnKnown,0.1282051282051282
461e90,rflags,577416,1005,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,laxThreads._omp_fn.2>:,laxThreads._omp_fn.2>:,1,0,3.833544,74.17218543046357,25.827814569536425,UnKnown,0.1282051282051282
461f41,rflags,577416,1005,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,3.833544,74.14965986394557,25.85034013605442,INTEGER,0.26744186046511625
461f45,rsp,577416,1005,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",1,0,3.833544,74.49664429530202,25.503355704697988,CONDITION,0.3157894736842105
461f60,rdx,577416,1005,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",1,0,3.833544,74.34210526315789,25.657894736842103,CONDITION,0.5555555555555556
462022,rcx,577416,1005,masked,<hypre_ParCSRRelaxThreads._omp_fn.1>,add,"add, $0x1,%rdx",1,0,3.833544,74.66666666666667,25.33333333333333,INTEGER,0.3333333333333333
461f41,rsp,577416,1005,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,3.833544,73.85620915032679,26.1437908496732,INTEGER,0.26744186046511625
461f41,rdx,586618,1421,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,3.896461,74.02597402597402,25.97402597402597,INTEGER,0.26744186046511625
461f41,rax,596976,61,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",1,0,3.967283,74.19354838709677,25.806451612903224,INTEGER,0.26744186046511625
424d35,rflags,611604,1141,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,mov,"mov, 0x20(%rsp),%rcx",0,1,4.0673,74.35897435897436,25.64102564102564,DATAXFER,1.0
461e90,rflags,611615,62,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,laxThreads._omp_fn.2>:,laxThreads._omp_fn.2>:,1,0,4.067376,74.52229299363057,25.477707006369428,UnKnown,0.1282051282051282
456025,rflags,701781,32,masked,<hypre_BoomerAMGCreateS._omp_fn.1>,add,"add, $0x1,%rax",1,0,4.683876,74.0506329113924,25.949367088607595,INTEGER,0.0
484f28,rdx,751237,327,masked,<hypre_IJMatrixAssembleParCSR._omp_fn.3>,cmp,"cmp, %rcx,0x8(%rdi,%rsi,8)",1,0,5.022027,73.58490566037736,26.41509433962264,CONDITION,0.3333333333333333
461f45,rax,758672,1296,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",1,0,5.072863,73.125,26.875,CONDITION,0.3157894736842105
461f3d,rflags,784541,1771,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",1,0,5.249739,72.67080745341615,27.32919254658385,DATAXFER,0.3246753246753247
46fce5,rsi,788210,1757,masked,<hypre_ParMatmul_RowSizes._omp_fn.0>,lea,"lea, 0x0(,%rcx,8),%r10",1,0,5.274826,72.8395061728395,27.160493827160494,INTEGER,0.3333333333333333
4925fc,r8,791714,524,masked,<hypre_UnorderedIntSetCreate._omp_fn.0>,add,"add, $0x1,%rdx",1,0,5.298784,73.00613496932516,26.993865030674847,INTEGER,0.0
461f45,rax,801499,333,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",1,0,5.365688,73.17073170731707,26.82926829268293,CONDITION,0.3157894736842105
