IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%,INS_type,Unnamed: 17,0x4209bb,CrashOnSameIP
42be5b,r8,375743596,12143,sdc,<HPL_lmul>,movzwl,"movzwl, %r8w,%r10d",0,0,1,77.184483,25.87064677,7.960199005,66.16915423,92.039801,DATAXFER,,,0.0
42befc,r9,375746807,6987,masked,<HPL_lmul>,add,"add, $0x4,%rax",1,0,0,77.185143,25.87064677,8.457711443,65.67164179,91.54228856,INTEGER,,,0.5772727272727273
420b71,rbx,375851735,590,sdc,<HPL_setran>,mov,"mov, $0xe54948,%esi",0,0,1,77.206697,25.37313433,8.457711443,66.16915423,91.54228856,DATAXFER,,,0.30612244897959184
42be8f,rsi,375864018,8224,sdc,<HPL_lmul>,mov,"mov, %ebx,%edi",0,0,1,77.20922,25.37313433,8.457711443,66.16915423,91.54228856,DATAXFER,,,0.0
42bddf,xmm5,375888755,9290,sdc,<HPL_ladd>,movzwl,"movzwl, %r10w,%edi",0,0,1,77.214302,25.37313433,8.457711443,66.16915423,91.54228856,DATAXFER,,,0.0
42bee2,rdi,375921319,32,sdc,<HPL_lmul>,cmp,"cmp, $0x3,%ecx",0,0,1,77.220991,25.37313433,8.457711443,66.16915423,91.54228856,CONDITION,,,0.0
42be98,rsi,375943800,12335,sdc,<HPL_lmul>,shr,"shr, $0x10,%edi",0,0,1,77.225609,25.37313433,8.955223881,65.67164179,91.04477612,SHIFT,,,0.0
42bea1,r8,375969805,8374,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,77.230951,24.87562189,8.955223881,66.16915423,91.04477612,INTEGER,,,0.0
42bf17,rdx,376003295,6625,masked,<HPL_lmul>,mov,"mov, -0x14(%rsp),%r10d",1,0,0,77.237831,24.87562189,8.955223881,66.16915423,91.04477612,DATAXFER,,,0.0
42be24,rdi,376011682,1702,sdc,<HPL_ladd>,add,"add, %r11d,%r8d",0,0,1,77.239554,25.37313433,8.955223881,65.67164179,91.04477612,INTEGER,,,0.0
42be24,rsi,376028376,9832,sdc,<HPL_ladd>,add,"add, %r11d,%r8d",0,0,1,77.242983,25.87064677,8.955223881,65.17412935,91.04477612,INTEGER,,,0.0
42be27,rbx,376029542,222,sdc,<HPL_ladd>,mov,"mov, %r8d,%esi",0,0,1,77.243222,26.3681592,8.955223881,64.67661692,91.04477612,DATAXFER,,,0.0
420b66,rax,376097534,6503,sdc,<HPL_setran>,mov,"mov, 0xa33dcf(%rip),%r10d",0,0,1,77.257189,26.3681592,8.955223881,64.67661692,91.04477612,DATAXFER,,,0.0
42be8f,r9,376102277,3025,masked,<HPL_lmul>,mov,"mov, %ebx,%edi",1,0,0,77.258164,26.86567164,8.955223881,64.17910448,91.04477612,DATAXFER,,,0.0
42bf11,rax,376114158,4451,sdc,<HPL_lmul>,movzwl,"movzwl, -0x18(%rsp),%r8d",0,0,1,77.260604,26.86567164,8.955223881,64.17910448,91.04477612,DATAXFER,,,0.0
42beb8,xmm0,376116803,10706,sdc,<HPL_lmul>,imul,"imul, %r11d,%ebx",0,0,1,77.261148,26.86567164,8.955223881,64.17910448,91.04477612,INTEGER,,,0.0
42bef8,rflags,376131934,3501,crash,<HPL_lmul>,add,"add, $0x1,%rcx",0,1,0,77.264256,26.86567164,8.955223881,64.17910448,91.04477612,INTEGER,,,0.9689119170984456
412c01,rflags,376156555,332,crash,<HPL_pdmatgen>,add,"add, $0x8,%rbx",0,1,0,77.269314,27.36318408,8.955223881,63.68159204,91.04477612,INTEGER,,,0.4444444444444444
