IP,CrashOnSameIP,count
0x4137b6,0.0,3
0x4137c0,25.0,4
0x4137c8,0.0,4
0x4137d1,0.0,3
0x41d394,66.66666666666667,3
0x41d399,33.333333333333336,3
0x41d3a1,0.0,2
0x41d3a8,0.0,2
0x41d3af,0.0,1
0x41d3b7,100.0,2
0x41d3bb,0.0,2
